Etho_trial,Trial,Shelter,Order,Date,Animal_ID,Trap_ID,Mass,Sex,Dev_stage,Recap._no,Trials,Tagger,Observer,Weather,Temperature,Notes,Distance_moved,Mean_dist_AP,Total_dist_AP,Time_arena,TimeEdge1,TimeEdge2,TimeEdge3,TimeEdge4,TimeEdge5,TimeEdge6,TimeEdge7,TimeEdge8,TimeEdge9,TimeEdge10,TimeEdge11,TimeEdge12,TimeEdge13,TimeEdge14,TimeEdge15,TimeEdge16,TimeEdge17,TimeEdge18,TimeEdge19,TimeEdge20,TimeOuter1,TimeOuter2,TimeOuter3,TimeOuter4,TimeOuter5,TimeOuter6,TimeOuter7,TimeOuter8,TimeOuter9,TimeOuter10,TimeOuter11,TimeOuter12,TimeCenter1,TimeCenter2,TimeCenter3,TimeCenter4,SquaresEntered,TimeEdge,TimeOuter,TimeCenter,TimeNear,TimeFar,TimeShelter,Lat_Shelter,Lat_Entry,TimeMove,TimeStill,Velocity
Trial    44,OF,No,3,6.23.17,15,6.5,13,U,J,1,3,Monica,Monica,cloudy and windy,17.7,,2613.51,29.0862,78445.4,180.11,7,6,5,2,6,6,2,1,2,5,14,14,4,3,6,8,7,6,9,9,3,4,4,5,3,2,6,4,1,3,6,8,1,0,1,2,35,68.4003,21.421,1.53484,55.4543,35.9018,-,-,-,117.048,62.995,14.5376
Trial    45,OF,No,4,6.23.17,13,6.9,18,M,J,2,3,Monica,Monica,cloudy and windy,17.7,,3630.07,28.6174,77038.1,179.909,12,9,10,8,6,8,6,4,8,25,18,10,8,6,14,13,15,8,11,14,3,5,3,4,8,10,19,7,8,11,7,8,7,7,3,5,36,133.464,26.8263,8.80862,97.1618,71.9371,-,-,-,148.279,31.4975,20.2298
Trial    46,OF,No,5,6.23.17,3,7.2,28,F,A,,,Monica,Monica,cloudy and windy,17.7,"Have a video on this day, but wasn't written up",2638.31,30.2936,81732.2,180.11,8,9,3,2,3,3,3,8,16,15,9,6,8,4,1,4,8,9,12,8,8,6,2,5,4,4,9,13,14,2,6,6,6,7,5,4,36,100.832,53.7193,15.8822,62.7948,107.639,-,-,-,125.389,54.6535,14.6646
Trial    47,OF,No,6,6.23.17,7,8.2,20.5,M,A,4,2,Monica,Monica,cloudy and windy,17.7,Mirror fell over during Agg trial. Double check eartags,6501.35,31.0705,83734.9,180.11,15,14,8,7,7,5,4,1,5,18,13,8,5,14,31,38,25,25,20,10,10,6,6,8,6,14,22,15,16,31,15,11,4,6,11,9,36,103.034,43.0421,4.00392,90.4886,59.5917,-,-,-,153.484,26.5593,36.2174
Trial    48,OF,No,7,6.23.17,2,10.7,20.5,F,A,5,3,Monica,Monica,cloudy and windy,17.7,Right eartag replaced,340.776,33.7545,91103.4,180.11,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,180.11,-,-,136.534,43.576,-,-,-,27.0932,152.95,1.89275
Trial    49,OF,No,8,6.23.17,16,10.9,18.5,M,A,1,2,Monica,Monica,cloudy and windy,17.7,escaped after agg trial,4151.62,25.3121,68317.3,180.11,30,23,15,10,6,2,2,3,5,7,5,3,2,5,9,11,15,13,14,15,8,5,6,6,7,10,9,10,7,12,9,9,3,6,5,1,36,75.8076,24.3572,2.53582,73.0715,29.629,-,-,-,138.135,41.9077,23.0591
Trial    50,AGG,No,1,6.23.17,6,5.6,31,M,A,4,3,Monica,Monica,cloudy and windy,17.7,,2876.43,18.0525,48705.5,180.11,15,9,7,5,1,0,1,2,3,3,3,3,10,15,15,13,13,13,14,17,4,2,4,4,4,4,9,7,2,4,3,2,1,1,1,0,34,162.492,11.7448,0.266928,156.553,17.9509,-,-,-,123.988,56.0549,15.9882
Trial    51,AGG,No,2,6.23.17,10,6.2,27,F,A,2,3,Monica,Monica,cloudy and windy,17.7,,197.177,22.5798,60942.8,180.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,18.8852,161.158,1.09516
Trial    52,AGG,No,3,6.23.17,15,6.5,13,U,J,1,3,Monica,Monica,cloudy and windy,17.7,,2267.32,32.7298,75638.5,157.488,1,0,1,1,2,0,0,1,1,1,1,4,1,14,12,13,8,9,6,3,1,0,0,2,1,0,12,0,0,6,0,0,0,0,0,0,22,84.4827,31.9646,-,106.771,9.67614,-,-,-,89.2207,66.732,14.8369
Trial    53,AGG,No,4,6.23.17,13,6.9,18,M,J,2,3,Monica,Monica,cloudy and windy,17.7,,2492.65,27.7672,74943.7,180.11,19,6,4,4,6,4,3,5,5,6,5,5,5,4,10,11,7,8,7,8,3,1,3,4,6,4,2,1,1,2,3,3,2,3,2,3,36,98.0293,7.80764,1.53484,75.2737,32.0981,-,-,-,132.797,47.2463,13.8448
Trial    54,AGG,No,5,6.23.17,3,7.2,28,F,A,,,Monica,Monica,cloudy and windy,17.7,"Have a video on this day, but wasn't written up",2588.75,28.4773,76860.3,180.11,8,4,1,1,1,1,3,2,6,3,8,6,6,5,4,9,8,6,5,6,1,1,0,2,3,9,5,9,7,4,2,2,2,1,8,2,35,87.2855,22.8223,12.8125,77.0755,45.8449,-,-,-,127.258,52.785,14.3785
Trial    55,AGG,No,6,6.23.17,7,8.2,20.5,M,A,4,2,Monica,Monica,cloudy and windy,17.7,Mirror fell over during Agg trial. Double check eartags,5299.94,30.5177,74066.4,167.964,8,2,1,4,3,1,1,1,2,6,2,8,9,30,52,39,18,12,11,11,1,0,2,1,0,0,12,2,5,29,2,0,0,1,1,1,31,124.455,21.4877,2.20216,122.186,25.9587,-,-,-,128.459,36.6359,33.2585
Trial    56,AGG,No,7,6.23.17,2,10.7,20.5,F,A,5,3,Monica,Monica,cloudy and windy,17.7,Right eartag replaced,461.904,44.8373,120971,180.11,1,1,1,1,1,1,0,0,0,0,2,1,1,1,2,6,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,180.11,-,-,53.4523,126.657,-,-,-,29.8959,150.147,2.56742
